num_connections perm aperture
9 1.0149767e-09 0.0001103617706
3 8.892228206e-10 0.0001032989538
3 6.298953791e-10 8.694104065e-05
6 6.028804183e-10 8.505624621e-05
2 5.405495564e-10 8.053939829e-05
2 7.525832951e-10 9.503157129e-05
0 5.033543706e-10 7.771906103e-05
6 5.837764343e-10 8.369777304e-05
3 5.27784129e-10 7.958272141e-05
4 5.134658515e-10 7.849579746e-05
1 4.710839192e-10 7.51864817e-05
0 3.853010386e-10 6.799715041e-05
1 3.917211543e-10 6.856131454e-05
2 3.714329749e-10 6.676223258e-05
1 3.466971715e-10 6.450089967e-05
1 3.276880085e-10 6.270770369e-05
1 3.269446145e-10 6.263653386e-05
2 3.254115582e-10 6.24895087e-05
0 3.230629861e-10 6.226359959e-05
2 3.039773554e-10 6.039642592e-05
1 3.029632568e-10 6.029559753e-05
1 2.957052489e-10 5.956897672e-05
0 2.776283771e-10 5.771949865e-05
1 2.780427039e-10 5.776255228e-05
1 2.653340499e-10 5.642702011e-05
0 2.717667818e-10 5.710692937e-05
1 2.626623213e-10 5.6142211e-05
0 2.432484925e-10 5.402760322e-05
0 2.428367237e-10 5.398185514e-05
1 2.324737112e-10 5.281746429e-05
0 2.346254388e-10 5.306133495e-05
0 2.276456356e-10 5.226612313e-05
1 2.217184007e-10 5.158120596e-05
0 2.163223922e-10 5.094966837e-05
0 2.135810256e-10 5.062580673e-05
0 2.147516857e-10 5.076435982e-05
0 2.128089716e-10 5.053422265e-05
