f1 f2 x y z length
1 2 -5.958542177 2.356519007 2.062235021 3.297599174
1 3 -0.8409144458 0.2864582394 5.288356741 1.94191868
1 5 -5.363941402 -0.8060079228 3.992501624 4.470977221
1 6 -1.321099055 3.867350832 3.182878685 4.073271177
1 11 -0.705884505 1.359267655 4.773330772 2.362472716
1 12 -3.004697728 -0.3750329868 4.742348207 2.991870826
1 16 -6.357919889 -1.39355174 3.892685592 2.955821514
1 35 -4.024634033 0.3037328569 3.957681087 1.92346276
1 -3 -7.5 1.036110084 2.125290091 4.940148845
2 4 -7.141186549 -0.4341541855 -1.851828436 2.557998029
2 7 -5.335374109 0.188180792 -0.5764448864 4.17100431
2 -3 -7.5 1.328973847 0.3323518086 8.031234913
3 11 -0.5993542405 0.564089737 6.509904961 3.119573742
3 14 1.909801732 -0.1066751795 6.240218892 2.749205975
3 -1 0.5216663377 0.5690568232 7.5 5.540132651
4 18 -7.101187604 -3.607056001 -0.2553664489 0.8921211743
4 21 -7.120373357 -1.225667532 0.03005122271 1.346117843
4 24 -7.11215425 -1.719382288 0.5516564931 0.6883766441
4 27 -7.13491816 -2.16829786 -3.114405919 2.070147206
4 30 -7.157074311 -0.3686573871 -3.947211834 0.5909876205
4 33 -7.140383436 -2.39014618 -4.134083737 1.150233565
5 16 -5.994413782 -0.8634692129 4.066798503 2.696513179
5 -3 -7.5 -0.9903536379 4.23625753 3.689062499
6 8 2.821562858 2.039822545 4.70898275 0.4377578172
6 17 -0.8446435315 5.532200654 4.467478007 1.748344867
8 13 4.304568397 1.340089301 5.329376152 2.603509283
8 19 3.309763665 1.239690485 5.143002612 0.9156853395
8 22 6.528838103 1.317915294 5.84555968 1.685729581
8 28 5.396736344 4.159603014 4.441357159 1.416660261
8 36 3.876149163 2.783619799 4.649512226 1.552919299
8 -5 7.5 2.332347392 5.657919617 2.668699413
9 10 -3.821808561 -4.583671599 0.3620079679 2.826527617
9 23 -5.082583345 -5.46148363 -0.5036736419 2.53621301
9 34 -5.663555452 -5.748152289 -0.6155549314 1.8033152
10 15 -3.31568439 -3.395844887 -2.02693685 0.5428195028
10 26 -5.059579179 -2.498745953 -0.9997026453 2.276763194
10 32 -5.745760428 -1.998439307 -0.8082020762 1.205930263
10 37 -4.900353525 -3.670885492 0.4805203102 1.897643465
11 19 1.590117822 1.164642537 5.428389415 0.9718939789
13 29 5.232503562 0.6023442705 4.767524941 1.508491423
14 19 2.424126139 1.234535624 5.314981051 1.691998861
14 -1 1.59758775 0.5337120824 7.5 2.089101499
15 31 -2.785457026 -2.624898218 -2.574613071 1.696043011
16 -3 -7.5 -1.385481194 3.122796197 0.7378517125
17 -4 -1.165455351 7.5 3.981707928 1.329651209
18 25 -7.190308257 -5.587746403 0.1515810684 1.162208659
18 -3 -7.5 -4.922920339 -0.8642126363 2.357559702
20 27 -6.188604463 -2.446199281 -2.601027255 1.288469428
20 32 -6.065746669 -2.230866125 -1.344480538 0.898423622
21 -3 -7.5 -1.458506012 0.6614816616 2.695270124
22 -5 7.5 0.6790601801 5.922899075 2.175763206
24 -3 -7.5 -2.172844804 1.393897274 2.148354851
25 -3 -7.5 -6.504902444 -0.4939023405 0.4618137607
27 -3 -7.5 -2.203144266 -3.258356425 1.705178387
30 -3 -7.5 0.1024793321 -3.79252304 2.067748782
33 -3 -7.5 -2.528463692 -4.540408623 1.678262794
