f1 f2 x y z length
1 2 -0.8929542565 -0.8351720941 -4.440892099e-16 10.30818869
1 3 2.534184973 2.92697002 -4.440892099e-16 10.48425654
1 4 -2.485113121 -2.370330561 0.6397309008 9.325559638
1 7 -3.276734093 -4.359173155 -2.729424017 5.020920409
1 9 -2.90883104 -1.966296327 3.254719294 3.66420577
1 10 -3.911649437 -3.946377798 0.6094433476 3.599212309
1 16 0.8155659427 1.477555496 1.315359397 3.368883682
1 18 0.1440820642 1.519276173 3.658585362 2.260653678
1 -3 -5 -4.340890086 3.017000565 4.179336138
1 -6 -4.08650285 -5 -1.982999435 6.304528357
1 -2 0.9134971496 -0.5140414668 -5 12.13644586
1 -5 5 4.485958533 -3.453453792 3.259474684
1 -4 3.954352136 5 1.546546208 7.216570528
1 -1 -1.045647864 0.6591099141 5 11.74397336
2 4 -2.141200935 0.3124266207 -0.5730473521 7.499954092
2 5 1.779705082 -3.744023309 -1.900814999 5.95928252
2 6 0.1968017276 -1.496665942 2.857372755 4.343583894
2 8 1.748403125 -3.01582054 2.928044585 4.57393066
2 9 -3.260859091 1.948393255 3.113312447 4.465628458
2 17 -1.470253554 -0.8365781277 -3.94999571 2.23000585
2 -6 3.332441075 -5 -4.440892099e-16 10.10676043
2 -2 -1.200061999 -1.254530858 -5 10.67109515
2 -3 -5 3.213002664 -8.881784197e-16 10.10373732
2 -1 -0.4674969264 -0.5324664786 5 12.72830545
3 11 3.464301441 2.898691089 1.872333565 5.718972626
3 14 3.057207117 1.911556447 -2.234053855 4.361666016
3 15 -0.2224404815 3.590998627 -3.641065308 3.183054715
3 -5 5 1.342589371 -4.440892099e-16 10.45213032
3 -1 3.337091955 3.931517856 5 3.953184669
3 -4 -0.6921284015 5 0 11.06335102
3 -2 0.9707796431 2.411071515 -5 9.578552581
4 13 -1.541393023 1.032349735 -2.253876802 2.972581885
4 17 -1.113632766 -0.4776998135 -3.230584453 0.955700776
4 19 -3.150911549 -4.070147131 2.604299199 5.131636989
4 -6 -2.355745744 -5 0.5827450369 9.4335491
4 -1 -4.156575854 -1.426599552 5 7.152828963
5 20 2.112708244 -1.763910337 -3.437286453 2.408728053
5 -5 5 -2.729397798 0.4046321621 6.252802336
5 -6 2.316556735 -5 -0.1675952317 7.643727192
6 -1 -0.2214094633 -1.693188305 5 8.010697547
6 -6 -2.190667211 -5 2.805355232 4.427651478
7 -6 -2.388287319 -5 -2.701301547 5.524029821
7 -2 -2.928521071 -3.536719199 -5 5.072362627
7 -3 -5 -3.329162683 -2.331394303 5.898576048
8 12 3.95738785 -1.139528898 3.935544551 2.347221901
8 -5 5 0.4645379388 3.402996244 3.922234031
8 -1 3.454712376 -2.488566057 5 4.767261329
8 -6 0.05621888926 -5 2.923523312 0.9274190608
9 -1 -3.708602835 0.3999274236 5 6.866120284
10 -3 -5 -2.192214724 1.73681128 5.617237638
10 -6 -3.904952291 -5 0.6279183 3.215710894
11 -4 4.806807592 5 2.301640911 2.420146098
11 -5 5 4.563363409 -0.7070074157 3.73180842
12 -5 5 -2.267981535 2.997265804 4.005703247
12 -1 3.807474921 -0.9672071364 5 3.497529571
13 -2 -1.94480635 1.578303253 -5 3.79765257
15 -2 -0.4432932566 3.740714597 -5 3.510718417
17 -2 -1.271489813 -1.160474897 -5 1.518002584
19 -3 -5 -4.900732148 4.767184052 0.5061911578
19 -6 -3.837447446 -5 1.949788813 5.668007958
19 -1 -3.492727479 -3.372685659 5 4.153686962
